"He wrote the script in cooperation with Bianca Olsen, Laurie Aubanel and Cyril Rambour."	"In collaboration with Bianca Olsen, Laurie Aubanel and Cyril Rambour, he wrote the script."			
"He wrote the script in cooperation with Bianca Olsen, Laurie Aubanel and Cyril Rambour."	"He wrote the script in collaboration with Bianca Olsen, Laurie Aubanel, and Cyril Rambour."			
"He wrote the script in cooperation with Cyril Rambour, Laurie Aubanel and Bianca Olsen."	"He wrote the screenplay in cooperation with Cyril Rambour, Laurie Aubanel and Bianca Olsen."			
"He wrote the script in cooperation with Cyril Rambour, Laurie Aubanel and Bianca Olsen."	"In collaboration with Cyril Rambour, Laurie Aubanel and Bianca Olsen, he wrote the script."			
Most Arabs in France are from the Maghreb but some also come from the Mashreq areas of the Arab world.	"Most Arabs in France come from the Maghreb, but some also come from the Mashreq areas of the Arab world."			
Most Arabs in France are from the Maghreb but some also come from the Mashreq areas of the Arab world.	"Most Arabs in France come from the Maghreb, but some are from the Mashreq regions of the Arab world."			
Cain Marko and his step-brother Charles serve in the US Army and are stationed in Korea.	Cain Marko and his stepbrother Charles serve in the US army and are stationed in Korea.			
"Sarah Lea married Thomas Wright Hill (1765 -- 1842) on 29 July, 1791, at St Martin's Church, Birmingham and had 8 children."	"On July 29, 1791, Sarah married Lea Thomas Wright Hill (1765 -- 1842) at St. Martin's Church in Birmingham and had 8 children."			
"She unsuccessfully ran for the Conservative Party of Canada nomination for Edmonton -- Sherwood Park, prior to the 2008 federal election; Tim Uppal was nominated and won."	"She ran unsuccessfully for the nomination of the Conservative Party of Canada for Edmonton -- Sherwood Park, prior to the 2008 federal election, Tim Uppal was nominated and won."			
Darío Cvitanich (Croatian: Dario Cvitanić; born 16 May 1984) is an Argentine football striker who plays for Banfield.	"Darío Cvitanić (born May 16, 1984) is an Argentine football striker who plays for Banfield."			
Dario Cvitanić (Croatian: Darío Cvitanich; born 16 May 1984) is an Argentine football striker who plays for Banfield.	"Dario Cvitanić (Croatian: Darío Cvitanich) (born May 16, 1984) is an Argentine football striker who plays for Banfield."			
Chuck Versus the Wedding Planner was directed by Anton Cropper and written by Rafe Judkins and Lauren LeFranc.	Chuck Versus the Wedding Planner was directed by Anton Cropper and is written by Rafe Judkins and Lauren LeFranc.			
Chuck Versus the Wedding Planner was written by Rafe Judkins and Lauren LeFranc and directed by Anton Cropper.	Chuck Versus the Wedding Planner was written by Rafe Judkins and Lauren LeFranc and was directed by Anton Cropper.			
Sheep are sacrificed and the meat is distributed to relatives and neighbours and given to the poor.	The sheep are being sacrificed and the meat is distributed to relatives and neighbours and given to the poor.			
Sheep are sacrificed and the meat is distributed to relatives and neighbours and given to the poor.	The sheep are sacrificed and meat is distributed to relatives and neighbours and distributed to the poor.			
Sheep are sacrificed and the meat is given to relatives and neighbours and distributed to the poor.	The sheep are being sacrificed and the meat is given to relatives and neighbours and is distributed to the poor.			
Sheep are sacrificed and the meat is given to relatives and neighbours and distributed to the poor.	The sheep is sacrificed and the meat is given to relatives and neighbours and distributed to the poor.			
"It is found in southeastern Florida, the Cayman Islands, the Bahamas, Cuba and probably on other Caribbean islands."	"It is located in southeastern Florida, the Cayman Islands, the Bahamas, Cuba and probably on other Caribbean islands."			
The championship was formed around the then newly created Rally New Zealand when it joined the World Rally Championship in 1977.	The championship was formed around the then newly created New Zealand rally when it was included in the Rally - World Championship in 1977.			
The championship was formed around the then newly created Rally New Zealand when it joined the World Rally Championship in 1977.	The championship was formed around the then newly created rally New Zealand when it was included in the 1977 Rally - World Championship.			
"The project obtained congratulations from the jury and received a label from ""l Observeur du design 2015 ""."	"The project received congratulations from the jury and a label by ""l Observeur du design 2015""."			
The latter study remains one of the few prospective demonstrations that environmental stress is associated with hypertension and LVH.	The latter study remains one of the few prospective demonstrations that environmental stress with high blood pressure and LVH is associated.			
The latter study is one of the few prospective demonstrations that environmental stress remains associated with hypertension and LVH.	The latter study is one of the few prospective demonstrations that environmental stress with high blood pressure and LVH remains associated.			
